,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
2,35,Sp015,Sp000,no ll opt_no time,,-1751.80239,nan,0.00164338,0.1705918,0.001643379999999972,0.00164338,0.27610687,0.1705918,9.0,0.02234186,0.00195738
2,36,Sp015,Sp012,no ll opt_no time,,-1751.80239,nan,0.043399,0.1705918,0.043398999999999965,0.043399,0.23435125,0.1705918,10.0,0.06409790000000001,0.00195738
2,37,Sp015,Sp001,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.99999993922529e-09,1e-08,0.27775024000000004,0.1705918,10.0,0.02069891,0.00195738
3,0,N4,Sp020,0.095,-1758.450606,-1751.80239,-6.64821600000004764297,0.160491,0.160491,0.160491,0.160491,0.02756719,0.0187264,3.0,0.17577269999999998,0.0051809
3,1,N4,Sp015,0.100,-1751.719227,-1751.80239,0.08316300000001319859,0.00195738,0.160491,0.001957379999999981,0.00195738,0.18610081,0.160491,3.0,0.01723908,0.0051809
3,2,N4,N5,0.091,-1751.813484,-1751.80239,-0.01109399999995730468,0.00374005,0.160491,0.18805819,0.00374005,0.0,0.0,2.0,0.01380652,0.0051809
3,3,N4,N8,0.089,-1761.759376,-1751.80239,-9.95698599999991529330,7e-08,0.160491,0.18805796,0.00314281,2.3000000000000002e-07,1.1e-07,3.0,0.01380667,0.0051809
3,4,N4,Sp009,0.099,-1761.759165,-1751.80239,-9.95677499999987958290,0.00374005,0.160491,0.003740049999999967,0.00374005,0.18431814000000002,0.160491,3.0,0.01754657,0.0051809
3,5,N4,N14,0.092,-1764.133776,-1751.80239,-12.33138599999983853195,1e-08,0.160491,0.18805819,0.00314281,0.0,0.0,4.0,0.013806760000000001,0.0051809
3,6,N4,N15,0.098,-1764.133776,-1751.80239,-12.33138599999983853195,1e-08,0.160491,0.18805819,1.1e-07,0.0,0.0,4.0,0.013806740000000001,0.0051809
3,7,N4,Sp011,0.089,-1764.13381,-1751.80239,-12.33141999999998006388,0.00314281,0.160491,0.003142809999999996,0.00314281,0.18491538,0.160491,5.0,0.01694957,0.0051809
3,8,N4,Sp004,0.097,-1764.133811,-1751.80239,-12.33142099999986385228,1e-08,0.160491,9.999999994736442e-09,1e-08,0.18805818,0.160491,5.0,0.01380677,0.0051809
3,9,N4,N24,0.090,-1764.133803,-1751.80239,-12.33141299999988405034,1e-08,0.160491,0.18805819,1.1e-07,0.0,0.0,5.0,0.01380684,0.0051809
3,10,N4,Sp005,0.092,-1764.133803,-1751.80239,-12.33141299999988405034,1e-08,0.160491,9.999999994736442e-09,1e-08,0.18805818,0.160491,5.0,0.01380675,0.0051809
3,11,N4,Sp010,0.095,-1764.133829,-1751.80239,-12.33143900000004578033,1.1e-07,0.160491,1.0999999999761201e-07,1.1e-07,0.18805808,0.160491,6.0,0.013806949999999998,0.0051809
3,12,N4,Sp003,0.096,-1764.13383,-1751.80239,-12.33143999999992956873,1e-08,0.160491,9.999999994736442e-09,1e-08,0.18805818,0.160491,6.0,0.013806849999999999,0.0051809
4,0,N5,Sp020,0.095,-1751.714271,-1751.80239,0.08811900000000605360,0.160491,0.160491,0.160491,0.160491,0.1037076,0.043399,4.0,0.17921742,0.00862562
4,1,N5,Sp015,0.099,-1758.450621,-1751.80239,-6.64823099999989608477,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.26224122,0.160491,4.0,0.020683800000000002,0.00862562
4,2,N5,N4,0.103,-1751.814667,-1751.80239,-0.01227700000004006142,1.5e-07,0.160491,0.24455387,0.043399,0.01964473,0.012024,3.0,0.01380652,0.00862562
