,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
2,22,Sp015,N24,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,23,Sp015,Sp005,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,24,Sp015,N26,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,25,Sp015,Sp008,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,26,Sp015,N28,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,27,Sp015,Sp002,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,28,Sp015,Sp019,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,29,Sp015,Sp016,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,30,Sp015,Sp010,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,31,Sp015,Sp003,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,32,Sp015,Sp007,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,33,Sp015,Sp006,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,34,Sp015,N36,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,35,Sp015,Sp000,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,36,Sp015,Sp012,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,37,Sp015,Sp001,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
3,0,N4,Sp020,0.095,-1758.450606,-1751.80239,-6.64821600000004764297,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
3,1,N4,Sp015,0.100,-1751.719227,-1751.80239,0.08316300000001319859,0.0051809,0.160491,0.09164941999999998,0.160491,0.18805821,0.160491
