orig_ds_tbl,longest_branch,edge_length_prune,tbl_pruned_prune,tbl_remaining_prune,longest_pruned_prune,longest_remaining_prune,edge_length_rgft,tbl_pruned_rgft,tbl_remaining_rgft,longest_pruned_rgft,longest_remaining_rgft,topology_dist_between_rgft,tbl_dist_between_rgft,res_tree_edge_length_rgft
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,5.40E-07,0.21915504,0.04504356,0.043399,0.043399,5,0.01726464,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00844103,0.2641986,0,0.00844103,0,5,0.02060623,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00761997,0.00761997,0.25657862,0.00761997,0.160491,5,0.02142664,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,0.2641986,0,7.50E-07,0,5,0.02583067,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,0.2641986,0,0.00148433,0,6,0.01726472,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,0.2641986,0,0.043399,0,6,0.01726518,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,0.2641986,0,1.00E-08,0,6,0.0256603,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00844103,0.00844103,0.25575757,0.00844103,0.160491,6,0.02904726,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,7.50E-07,7.50E-07,0.26419786,7.50E-07,0.160491,6,0.02583142,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,6,0.02583068,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00148433,0.2641986,0,0.00148433,0,7,0.0172648,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,7,0.01726473,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,0.00164338,0.2641986,0,0.043399,0,7,0.01726592,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,7,0.01726519,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,7,0.02566031,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,7,0.02566031,0.00862562
0.27970764,0.160491,0.00374005,0.27970764,0,0.00374005,0,1.00E-08,1.00E-08,0.2641986,1.00E-08,0.160491,8,0.01726481,0.00862562
