,prune_name,rgft_name,newick
"1,14",Sp019,N16,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((Sp004:0.0780885,Sp019:0.0584151,((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0252311)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,15",Sp019,Sp004,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp019:0.0584151,Sp004:0.0390442)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,16",Sp019,Sp010,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp003:0.0073118,Sp019:0.0584151,Sp010:0.00297339)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,17",Sp019,Sp003,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp019:0.0584151,Sp003:0.0036559)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,18",Sp019,N20,"((((((Sp015:0.00389131,Sp019:0.0584151,((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00291199)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,19",Sp019,Sp015,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp019:0.0584151,Sp015:0.00194565)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,20",Sp019,N22,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(Sp008:0.0103265,Sp019:0.0584151,((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00113988)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,21",Sp019,Sp008,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp019:0.0584151,Sp008:0.00516323)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,22",Sp019,N24,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,(((Sp007:0.0276984,Sp019:0.0584151,(Sp016:0.0094033,Sp012:0.0017405)N24:0.00544429)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,23",Sp019,Sp007,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp019:0.0584151,Sp007:0.0138492)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,24",Sp019,N26,"((((((((Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07,Sp019:0.0584151,(Sp009:1e-08,Sp005:7e-08)N26:0.00415691)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,25",Sp019,N27,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,Sp019:0.0584151,(Sp014:1e-08,Sp011:0.00281498)N27:1.15e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,26",Sp019,N28,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,((Sp002:1e-08,Sp019:0.0584151,(Sp017:8e-08,Sp006:0.00138926)N28:0.00209005)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,27",Sp019,Sp002,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp019:0.0584151,Sp002:5e-09)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp012:0.0017405)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,28",Sp019,Sp016,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp012:0.0017405,Sp019:0.0584151,Sp016:0.00470165)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
"1,29",Sp019,Sp012,"((((((((Sp009:1e-08,Sp005:7e-08)N26:0.00831382,(Sp014:1e-08,Sp011:0.00281498)N27:2.3e-07)N20:0.00582398,Sp015:0.00389131)N12:0.00687182,Sp013:0.0169849)N8:0.0198516,(Sp018:0.0132025,(((Sp017:8e-08,Sp006:0.00138926)N28:0.0041801,Sp002:1e-08)N22:0.00227977,Sp008:0.0103265)N15:0.00419008)N9:0.00908738)N6:0.0274047,((((Sp016:0.0094033,Sp019:0.0584151,Sp012:0.00087025)N24:0.0108886,Sp007:0.0276984)N16:0.0504622,Sp004:0.0780885)N10:0.0233602,(Sp010:0.00594678,Sp003:0.0073118)N11:0.0444345)N7:0.0328514)N4:0.225841,Sp000:0.212371)N1:0.0597274,Sp001:0.0932853)ROOT_LIKE:0;"
